perSquarePrice,square,orientation,houseUrl,floor,houseType,xiaoqu,totalPrice,buildInfo,houseArea
94990,130.54平,朝南,http://sh.lianjia.com/ershoufang/sh4533527.html,中区/6层,3室2厅,静安风华苑,1240万,2005年建,静安曹家渡
43835,90.11平,朝南北,http://sh.lianjia.com/ershoufang/sh4533407.html,中区/7层,3室2厅,美兰湖岭域,395万,2009年建,宝山罗店
70906,45.13平,朝南,http://sh.lianjia.com/ershoufang/sh4533237.html,高区/7层,1室1厅,江苏路499弄,320万,1996年建,长宁镇宁路
49610,42.33平,朝南,http://sh.lianjia.com/ershoufang/sh4533131.html,高区/6层,1室1厅,呼玛二村,210万,1995年建,宝山张庙
70324,45.93平,朝南,http://sh.lianjia.com/ershoufang/sh4530185.html,中区/5层,2室1厅,田林一村,323万,1983年建,徐汇田林
56869,100.23平,朝南北,http://sh.lianjia.com/ershoufang/sh4529615.html,高区/5层,2室2厅,行知家园,570万,1997年建,宝山大华
81680,34.28平,朝南,http://sh.lianjia.com/ershoufang/sh4528944.html,中区/6层,1室1厅,复元坊,280万,1993年建,闸北西藏北路
107913,111.2平,朝南,http://sh.lianjia.com/ershoufang/sh4528683.html,中区/35层,2室2厅,汇豪天下,1200万,2004年建,浦东陆家嘴
60633,44.2平,朝南,http://sh.lianjia.com/ershoufang/sh4528260.html,低区/6层,1室1厅,安临小区,268万,1993年建,浦东三林
42892,48.96平,,http://sh.lianjia.com/ershoufang/sh4527924.html,中区/4层,2室0厅,宝钢七村,210万,1978年建,宝山淞宝
58007,106.02平,朝南北,http://sh.lianjia.com/ershoufang/sh4527757.html,高区/6层,3室2厅,文化名园,615万,2003年建,杨浦五角场
73928,101.45平,朝南,http://sh.lianjia.com/ershoufang/sh4525417.html,低区/7层,2室2厅,汇元坊,750万,2002年建,杨浦黄兴公园
77854,138.72平,朝南北,http://sh.lianjia.com/ershoufang/sh4525217.html,中区/26层,3室2厅,华敏世纪广场,1080万,2001年建,长宁镇宁路
53215,67.65平,朝南北,http://sh.lianjia.com/ershoufang/sh4524667.html,中区/6层,2室1厅,意凯家苑,360万,1994年建,浦东三林
45679,105.08平,朝南,http://sh.lianjia.com/ershoufang/sh4518679.html,高区/6层,2室2厅,新梅花苑,480万,1995年建,闵行古美
42091,78.4平,朝南北,http://sh.lianjia.com/ershoufang/sh4313352.html,高区/11层,2室1厅,馨佳园（韶山路418弄）,330万,2009年建,宝山顾村
80271,138.28平,朝南北,http://sh.lianjia.com/ershoufang/sh4306846.html,中区/16层,3室2厅,弘扬沁园,1110万,2002年建,浦东洋泾
97666,124.71平,朝南,http://sh.lianjia.com/ershoufang/sh4304124.html,低区/17层,2室2厅,明华苑,1218万,2002年建,徐汇徐家汇
62396,72.12平,朝南,http://sh.lianjia.com/ershoufang/sh4277384.html,低区/16层,2室1厅,茅台新苑,450万,1989年建,长宁仙霞
51251,51.12平,朝南北,http://sh.lianjia.com/ershoufang/sh4264941.html,高区/7层,1室1厅,宏翔公寓,262万,1999年建,杨浦黄兴公园
100139,93.47平,朝南,http://sh.lianjia.com/ershoufang/sh4231997.html,中区/39层,2室2厅,瑞虹新城（二期）,936万,2005年建,虹口临平路
51778,53.69平,朝南北,http://sh.lianjia.com/ershoufang/sh4210715.html,高区/7层,1室1厅,金信公寓,278万,1997年建,杨浦中原
37330,85.72平,朝南,http://sh.lianjia.com/ershoufang/sh4205447.html,高区/6层,3室1厅,新川路300弄,320万,,浦东川沙
61138,89.96平,朝南北,http://sh.lianjia.com/ershoufang/sh4166870.html,高区/6层,3室1厅,双桥小区,550万,1997年建,浦东金桥
75967,63.58平,朝南,http://sh.lianjia.com/ershoufang/sh4154014.html,中区/6层,2室1厅,美乐小区,483万,1993年建,徐汇田林
61871,99.4平,朝南,http://sh.lianjia.com/ershoufang/sh3851038.html,低区/18层,2室2厅,地杰国际城,615万,2007年建,浦东御桥
65394,131.51平,朝南北,http://sh.lianjia.com/ershoufang/sh1743049.html,低区/12层,3室2厅,黄兴公寓,860万,2001年建,杨浦五角场
76119,99.58平,朝南,http://sh.lianjia.com/ershoufang/sh1086911.html,高区/6层,3室2厅,樱花路89弄,758万,2006年建,浦东花木
58497,162.4平,朝南,http://sh.lianjia.com/ershoufang/sh1082066.html,低区/30层,3室2厅,新都花园,950万,2002年建,浦东塘桥
104576,88.93平,朝南,http://sh.lianjia.com/ershoufang/sh1062850.html,低区/35层,2室2厅,汇豪天下,930万,2004年建,浦东陆家嘴
73958,51.38平,朝南,http://sh.lianjia.com/ershoufang/sh4675679.html,高区/7层,2室0厅,富源小区,380万,1981年建,普陀长寿路
118962,42.03平,朝南北,http://sh.lianjia.com/ershoufang/sh4683459.html,中区/6层,2室0厅,泉东二小区,500万,1991年建,浦东潍坊
80298,34.87平,朝南,http://sh.lianjia.com/ershoufang/sh4498431.html,低区/6层,1室0厅,化工小区（长宁）,280万,1985年建,长宁新华路
56204,113.87平,朝南,http://sh.lianjia.com/ershoufang/sh4498120.html,低区/17层,2室2厅,春申丽园,640万,2009年建,闵行莘庄
117227,196.2平,朝东,http://sh.lianjia.com/ershoufang/sh4494874.html,低区/28层,4室2厅,云海苑,2300万,2003年建,静安南京西路
97974,76.04平,朝南,http://sh.lianjia.com/ershoufang/sh4494068.html,中区/21层,1室2厅,联洋年华,745万,2004年建,浦东联洋
52445,70.55平,朝南,http://sh.lianjia.com/ershoufang/sh4492090.html,高区/6层,2室1厅,静安新城（三区）,370万,1997年建,闵行静安新城
75057,34.64平,朝南,http://sh.lianjia.com/ershoufang/sh4490448.html,高区/6层,1室0厅,上缝小区,260万,1989年建,徐汇龙华
51670,54.19平,朝南北,http://sh.lianjia.com/ershoufang/sh4486311.html,高区/5层,2室1厅,殷行路305弄,280万,1994年建,杨浦中原
58866,40.77平,朝东南,http://sh.lianjia.com/ershoufang/sh4483537.html,中区/7层,1室1厅,谈家渡路19号,240万,1990年建,普陀武宁
61839,51.1平,朝南,http://sh.lianjia.com/ershoufang/sh4477514.html,高区/6层,2室0厅,上南六村,316万,1985年建,浦东世博
64483,139.57平,朝南北,http://sh.lianjia.com/ershoufang/sh4466757.html,高区/12层,3室2厅,世纪苑,900万,2002年建,闵行梅陇
53414,95.48平,朝南北,http://sh.lianjia.com/ershoufang/sh4466484.html,低区/11层,2室2厅,永达城市公寓,510万,2008年建,浦东川沙
78090,44.82平,朝南北,http://sh.lianjia.com/ershoufang/sh4461192.html,中区/6层,2室0厅,利安小区,350万,1996年建,长宁中山公园
47672,53.91平,朝南,http://sh.lianjia.com/ershoufang/sh4453702.html,高区/6层,1室1厅,杨家桥小区（普陀）,257万,1999年建,普陀桃浦
61369,50.84平,朝南北,http://sh.lianjia.com/ershoufang/sh4452377.html,中区/5层,2室1厅,控江西三村,312万,,杨浦黄兴公园
51251,66.34平,朝南北,http://sh.lianjia.com/ershoufang/sh4445902.html,高区/6层,2室1厅,大华二村,340万,1996年建,宝山大华
42330,109.85平,朝南北,http://sh.lianjia.com/ershoufang/sh4436863.html,中区/6层,3室2厅,共富二村,465万,2006年建,宝山共富
87004,127.58平,朝南,http://sh.lianjia.com/ershoufang/sh4563602.html,高区/26层,3室2厅,锦蝶苑,1110万,1999年建,徐汇徐家汇
54308,110.48平,朝北,http://sh.lianjia.com/ershoufang/sh4559362.html,中区/34层,2室2厅,浦江大厦,600万,1998年建,长宁新华路
59131,51.58平,朝南,http://sh.lianjia.com/ershoufang/sh4556303.html,高区/6层,2室1厅,闻喜小区,305万,1985年建,闸北彭浦
57894,66.5平,朝南,http://sh.lianjia.com/ershoufang/sh4551189.html,高区/6层,2室1厅,龙柏六村,385万,1995年建,闵行龙柏
64036,78.08平,朝南,http://sh.lianjia.com/ershoufang/sh4550629.html,低区/24层,2室1厅,上南九村,500万,1993年建,浦东世博
56621,54.75平,朝南,http://sh.lianjia.com/ershoufang/sh4548496.html,低区/6层,1室1厅,浦发绿城,310万,2004年建,浦东三林
64395,83.08平,朝南,http://sh.lianjia.com/ershoufang/sh4547219.html,中区/6层,3室1厅,金杨六街坊,535万,1994年建,浦东金杨
78335,59.36平,朝北,http://sh.lianjia.com/ershoufang/sh4544376.html,低区/23层,2室1厅,世纪之门,465万,2001年建,普陀长寿路
64465,76.01平,朝南,http://sh.lianjia.com/ershoufang/sh4538958.html,高区/24层,2室1厅,明园公寓,490万,1994年建,杨浦东外滩
66489,37.6平,朝南,http://sh.lianjia.com/ershoufang/sh4534309.html,低区/6层,1室0厅,大二小区,250万,1985年建,虹口曲阳
53066,84.8平,朝南,http://sh.lianjia.com/ershoufang/sh4532336.html,低区/27层,2室2厅,地杰国际城,450万,2009年建,浦东御桥
59532,72.23平,朝南,http://sh.lianjia.com/ershoufang/sh4530646.html,中区/6层,2室1厅,新花苑,430万,1995年建,浦东北蔡
70963,42.98平,朝南,http://sh.lianjia.com/ershoufang/sh4528857.html,低区/19层,1室0厅,金谷苑,305万,1994年建,长宁中山公园
46561,120.27平,朝南北,http://sh.lianjia.com/ershoufang/sh4525856.html,低区/18层,3室2厅,柏丽华庭,560万,2007年建,宝山杨行
72500,48.0平,朝南,http://sh.lianjia.com/ershoufang/sh4505458.html,低区/6层,1室1厅,长春小区,348万,1994年建,徐汇田林
60769,44.43平,朝南,http://sh.lianjia.com/ershoufang/sh4565444.html,高区/6层,1室1厅,东泉小区,270万,1994年建,徐汇植物园
44935,70.1平,朝南,http://sh.lianjia.com/ershoufang/sh4561136.html,高区/6层,2室1厅,银都新村（8至10区）,315万,1995年建,闵行颛桥
84430,69.88平,朝南,http://sh.lianjia.com/ershoufang/sh4558637.html,低区/6层,2室1厅,巨东小区,590万,1994年建,浦东洋泾
57385,67.09平,,http://sh.lianjia.com/ershoufang/sh4534672.html,中区/24层,2室0厅,内江二村,385万,1993年建,杨浦周家嘴路
48227,73.61平,朝南北,http://sh.lianjia.com/ershoufang/sh4534084.html,中区/6层,2室2厅,金霞苑,355万,2008年建,嘉定江桥
61948,64.57平,朝南,http://sh.lianjia.com/ershoufang/sh4529656.html,低区/6层,2室1厅,凌云新村,400万,1994年建,徐汇华东理工
72176,55.42平,朝南,http://sh.lianjia.com/ershoufang/sh4528881.html,高区/7层,2室0厅,大统路159弄,400万,1985年建,闸北西藏北路
65868,91.09平,朝南,http://sh.lianjia.com/ershoufang/sh4520108.html,低区/6层,2室2厅,小红楼,600万,2000年建,浦东三林
59392,58.93平,朝南,http://sh.lianjia.com/ershoufang/sh4516687.html,高区/6层,2室1厅,工农三村,350万,1991年建,杨浦中原
98161,56.03平,朝南,http://sh.lianjia.com/ershoufang/sh4516191.html,低区/32层,1室1厅,新湖明珠城,550万,,普陀武宁
63047,46.79平,朝南北,http://sh.lianjia.com/ershoufang/sh4507285.html,高区/6层,2室0厅,永馨小区,295万,1993年建,长宁北新泾
59244,138.41平,朝南北,http://sh.lianjia.com/ershoufang/sh4459177.html,高区/6层,3室3厅,新时代花园,820万,2002年建,闵行古美
47523,94.69平,朝南北,http://sh.lianjia.com/ershoufang/sh4256269.html,中区/14层,2室2厅,港城新苑,450万,2008年建,浦东外高桥
55475,69.4平,朝南,http://sh.lianjia.com/ershoufang/sh4691178.html,低区/6层,2室1厅,罗阳七村,385万,1996年建,闵行梅陇
57830,63.98平,朝南北,http://sh.lianjia.com/ershoufang/sh4669248.html,高区/6层,2室1厅,天池一村,370万,1994年建,浦东北蔡
48198,87.14平,朝南,http://sh.lianjia.com/ershoufang/sh4501967.html,低区/18层,2室2厅,浦江东旭公寓,420万,2009年建,浦东金桥
58610,129.67平,,http://sh.lianjia.com/ershoufang/sh4490675.html,低区/22层,3室2厅,绿洲康城亲水湾（中央区）,760万,2012年建,浦东御桥
55293,86.81平,朝南北,http://sh.lianjia.com/ershoufang/sh4481574.html,高区/6层,2室1厅,东靖苑,480万,2003年建,浦东金桥
52825,282.06平,(进门) 南,http://sh.lianjia.com/ershoufang/sh4459146.html,地上3层,4室2厅,梧桐城邦（别墅）,1490万,2010年建,宝山大华
61439,43.62平,朝南,http://sh.lianjia.com/ershoufang/sh4456840.html,中区/14层,1室1厅,延吉七村,268万,1987年建,杨浦黄兴公园
82749,229.61平,朝东北,http://sh.lianjia.com/ershoufang/sh4418277.html,低区/33层,4室2厅,古北瑞仕花园,1900万,2006年建,长宁古北
65584,147.9平,朝南北,http://sh.lianjia.com/ershoufang/sh4367778.html,低区/33层,3室2厅,明园森林都市,970万,2013年建,闸北大宁
81877,91.6平,朝南,http://sh.lianjia.com/ershoufang/sh4340465.html,低区/32层,2室2厅,东外滩1号,750万,2012年建,杨浦周家嘴路
76214,94.47平,朝南北,http://sh.lianjia.com/ershoufang/sh4311251.html,中区/5层,2室2厅,证大家园（公寓）,720万,2002年建,浦东金桥
74216,78.15平,朝南,http://sh.lianjia.com/ershoufang/sh4246171.html,高区/29层,2室1厅,上青佳园,580万,2004年建,普陀长寿路
69225,47.67平,朝南,http://sh.lianjia.com/ershoufang/sh4233273.html,中区/7层,2室0厅,中华小区,330万,1996年建,长宁新华路
47116,73.86平,朝南北,http://sh.lianjia.com/ershoufang/sh4491557.html,中区/6层,2室2厅,金鹤新城双佳翠庭,348万,2007年建,嘉定江桥
98752,111.39平,朝南,http://sh.lianjia.com/ershoufang/sh4691630.html,低区/30层,2室2厅,耀江花园,1100万,2006年建,黄浦世博滨江
68169,55.01平,朝南,http://sh.lianjia.com/ershoufang/sh4691627.html,中区/13层,1室1厅,通协小区,375万,2005年建,长宁北新泾
93530,155.03平,朝南北,http://sh.lianjia.com/ershoufang/sh4691534.html,低区/33层,3室2厅,永新花苑,1450万,1999年建,徐汇徐家汇
56572,30.05平,朝北,http://sh.lianjia.com/ershoufang/sh4686468.html,高区/5层,1室0厅,凤城二村,170万,1988年建,杨浦控江路
92533,156.7平,朝东西,http://sh.lianjia.com/ershoufang/sh4684941.html,中区/53层,2室2厅,世茂滨江花园,1450万,,浦东陆家嘴
96598,49.69平,朝南,http://sh.lianjia.com/ershoufang/sh4677616.html,高区/6层,2室0厅,柿子湾路6号,480万,1982年建,徐汇徐家汇
51323,55.53平,朝南,http://sh.lianjia.com/ershoufang/sh4548872.html,低区/5层,2室1厅,金台三居,285万,1989年建,浦东金杨
66924,77.7平,朝南,http://sh.lianjia.com/ershoufang/sh4543965.html,中区/19层,2室0厅,双花公寓,520万,1991年建,杨浦黄兴公园
61647,38.12平,朝南,http://sh.lianjia.com/ershoufang/sh4482527.html,高区/5层,1室1厅,德州二村,235万,1985年建,浦东世博
66420,40.65平,朝南北,http://sh.lianjia.com/ershoufang/sh4481569.html,中区/7层,1室1厅,长隆住宅小区,270万,1987年建,杨浦周家嘴路
46095,190.91平,朝南,http://sh.lianjia.com/ershoufang/sh4477848.html,高区/6层,4室3厅,金芙苑,880万,1997年建,浦东金杨
